 County, FIPS, Total,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad
Autauga,1001,0.256166625,0.003000711,0.004433801,0.010148499,0.155508352,0.074760707,0,0.00097581,0.002452879,0.004885866
Baldwin,1003,0.450031262,0.015348179,0.011883677,0.031948461,0,0.278708931,0,0.017842097,0.044849406,0.049450512
Barbour,1005,0.099370333,0.001904576,0.008555456,0.006283527,0,0.057142541,0,0.005468961,0.01374724,0.006268033
Bibb,1007,0.045945071,0.00076877,0.001622062,0.004614391,0,0.035745693,0,0.00038026,0.000955853,0.001858042
Blount,1009,0.114776252,0.001951411,0.009059451,0.011162115,0,0.087400729,0,0.000298024,0.000749139,0.004155384
Bullock,1011,0.031340059,0.000482451,0.003496984,0.002666056,0,0.023310574,0,0,0,0.001383994
Butler,1013,0.09800971,0.001653979,0.003211287,0.005054764,0,0.08266826,0,0.000530852,0.001334394,0.003556174
Calhoun,1015,0.466962819,0.012576595,0.046280841,0.02742766,0,0.347098999,0,0.005050189,0.012694581,0.015833953
Chambers,1017,0.084447303,0.002430528,0.011209059,0.008560152,0,0.057028016,0,0.000354646,0.000891469,0.003973432
Cherokee,1019,0.062065659,0.000858243,0.001763532,0.005159923,0,0.044732128,0,0.000579424,0.001456489,0.00751592
Chilton,1021,0.172527289,0.00193918,0.053766503,0.008852647,0,0.094827977,0,0.002568418,0.006456194,0.00411637
Choctaw,1023,0.058373908,0.000686135,0.019990159,0.003648675,0,0.028419235,0,0.000206126,0.000518137,0.004905441
Clarke,1025,0.077981329,0.00207411,0.015539797,0.006764333,0.000668431,0.045197688,0,0.000433939,0.001090785,0.006212246
Clay,1027,0.038342555,0.000665157,0.00503668,0.003295634,0,0.025840536,0,0.000317914,0.000799137,0.002387497
Cleburne,1029,0.069492041,0.000367815,0.003013639,0.003397554,0,0.061386227,0,0,0,0.001326805
Coffee,1031,0.131462278,0.003646823,0.010646562,0.009925101,0,0.069433255,0,0.008873221,0.022304478,0.006632838
Colbert,1033,1.970785497,0.006657727,0.035109697,0.012390497,1.793229452,0.092230581,0,0.005270567,0.013248543,0.012648434
Conecuh,1035,0.18517054,0.000675463,0.00163642,0.00322422,0.000284439,0.062531438,0,0.032450736,0.081570923,0.002796902
Coosa,1037,0.045958391,0.000209283,0.008797961,0.002757009,0,0.03152286,0,0,0,0.002671277
