BINs,Type,Score,S_EUI,BBL
1088884,Multifamily Housing,87,115.7,1003360005
1026728,Multifamily Housing,79,107.1,1010617501
1043974,Multifamily Housing,80,105.2,1014270028
1048117,Multifamily Housing,10,180.7,1015180024
1079685,Residence Hall/Dormitory,,,1003920010
1000005,Office,71,300.2,1000047501
1000007,Office,90,161.3,1000050010
1000006,Office,71,243.1,1000057501
1087700,Multifamily Housing,1,233.8,1000087501
1000018,Office,86,183.5,1000090001
1000020,Office,77,204.5,1000090014
1000021,Office,57,244.4,1000090029
1000025,Office,1,22735,1000100016
1000027,Office,72,211.2,1000100023
1087618,Hotel,56,234.3,1000100033
1085816,Multifamily Housing,,116.3,1000110014
1000038,Office,88,140.8,1000110021
1000043,Office,72,,1000130001
1000044,Office,72,244.4,1000130005
1000045,Office,69,219.9,1000130027
1000047,Multifamily Housing,,160,1000150022
1082634,Office,,129.7,1000157501
1087243;1000046,Multifamily Housing,70,123.6,1000157502
1000061,Multifamily Housing,,128.8,1000167501
1000301,Multifamily Housing,,127.8,1000167502
1065089,Multifamily Housing,,133.2,1000167503
1000436,Multifamily Housing,,141.4,1000167504
1000544,Multifamily Housing,,167.6,1000167505
1065199,Multifamily Housing,,131.5,1000167506
1065321,Multifamily Housing,,106.9,1000167507
1065475,Multifamily Housing,,143.8,1000167508
1075698,Multifamily Housing,7,200.2,1000167509
1080815,Multifamily Housing,,137.7,1000167510
1082813,Multifamily Housing,14,207.4,1000167511
1085867,Hotel,1,358.6,1000167512
1085789,Hotel,51,159.8,1000167513
1087238,Multifamily Housing,9,145,1000167514
1000053,Multifamily Housing,57,125.9,1000167515
1087842,Multifamily Housing,66,134.8,1000167517
1000055,Multifamily Housing,19,163.9,1000167518
1087848,Multifamily Housing,11,162.3,1000167519
1087847,Multifamily Housing,3,172.2,1000167520
1000793,Multifamily Housing,,142.4,1000170029
1000794,Multifamily Housing,12,214.8,1000187501
1000802,Office,83,169.6,1000200001
1000803,Office,71,200.7,1000200004
1000804,Office,47,266.2,1000200009
1000807,Office,79,202.6,1000200016
1000808,Office,87,169.1,1000210001
1000810,Multifamily Housing,,128,1000210006
1000811,K-12 School,68,128.8,1000220013
1078979,Office,62,218.2,1000220017
1000812,Office,62,227.2,1000220020
1000813,Office,76,157.3,1000220024
1000814,Office,70,191.9,1000220028
1078982,Financial Office,1,780.9,1000230019
1000816,Office,76,183,1000230050
1000817,Office,76,207.2,1000240001
1000820,Office,92,107.2,1000240036
1078985,Multifamily Housing,7,277.4,1000247501
1000821,Office,73,228.2,1000250001
1000823,K-12 School,2,282.7,1000250010
1000824,Multifamily Housing,,212.6,1000250019
1087954,Multifamily Housing,1,227.5,1000257501
1078992,Multifamily Housing,23,157.9,1000260014
1000826,Multifamily Housing,39,128.4,1000260021
1078988,Multifamily Housing,12,123.8,1000267501
1000828,Multifamily Housing,30,161.7,1000270009
1000829,Multifamily Housing,38,,1000270017
1000827˜,Multifamily Housing,1,,1000277501
1000830,Multifamily Housing,,107.8,1000277502
1000831,Multifamily Housing,,168.4,1000280001
1000832,Office,,,1000280005
1000833,Other,,207.4,1000280012
1000835,Multifamily Housing,60,,1000287501
1066031,Office,86,165.1,1000290001
1078995,Financial Office,70,207.4,1000290036
1000849,Office,5,508.7,1000290070
1078998;1078997;1078999,Multifamily Housing,2,196.3,1000297501
1000855,Office,78,195,1000300019
1000859,Mixed Use Property,12,170.4,1000310001
1085950,Multifamily Housing,1,335.3,1000317501
1083346,Office,70,280.8,1000327501
1-00033-0001,Office,78,164.8,1000330001
1000864,Multifamily Housing,33,157.8,1000330011
1000868,Office,56,187.9,1000350010
1000872,Multifamily Housing,99,86,1000370008
1000877,Office,100,,1000390001
1000878,Office,100,,1000390004
1000880,Office,62,232.3,1000390012
1000884,Multifamily Housing,,237.5,1000397501
1001004,Office,68,319.6,1000400003
1001005,Office,82,181,1000400014
1001006,Hotel,1,64762.7,1000400016
1001009,Multifamily Housing,1,226.5,1000417503
1001014,Multifamily Housing,7,191.4,1000420001
1086256,Multifamily Housing,,176.9,1000420022
1001015,Office,1,19721.1,1000420031
1001017,Office,72,187.5,1000430001
1001018,Office,90,155.9,1000430002
1001019,Office,,245.7,1000430005
1001022,Multifamily Housing,1,27343.9,1000447501
1001023,Office,46,272.6,1000460001
1001024,Office,78,179.4,1000460003
1001025,Office,44,247.2,1000460009
1001026,Office,87,169.7,1000477501
1001027,Office,69,256.4,1000480001
1001029,Office,90,140.2,1000490002
1001030,Office,60,248.8,1000500001
1001031,Office,95,119.9,1000510001
1001040,Multifamily Housing,24,131.1,1000520021
1001041,Multifamily Housing,,199.7,1000527502
1001051,Multifamily Housing,,144,1000530033
1001050,Multifamily Housing,4,218.1,1000537501
1088442,Hotel,1,27789.7,1000537502
1001060,Multifamily Housing,25,145,1000550014
1001061,Hotel,3,389.4,1000550016
1088750,Office,83,167.2,1000557501
10001063,Hotel,36,245.3,1000560001
1001064,Multifamily Housing,79,115.8,1000560004
1001068,Office,84,246.5,1000627501
1001069,Office,13,386.5,1000630003
1001084,Multifamily Housing,10,166.3,1000640008
1001087,Office,81,161.8,1000640012
1079040; 1079037; 1079038; 1079039,Office,69,226.3,1000640015
1001097,Office,91,138.7,1000650007
1001098,Multifamily Housing,22,,1000650010
1001100,Multifamily Housing,65,122.5,1000650017
1001105,Hotel,,18.5,1000650024
1001108,Office,55,248.9,1000660001
1079043,Office,77,165.5,1000670001
1001109,Office,77,176.3,1000670023
1001111,Office,49,245.7,1000680007
