,BINs,Type,Score,S_EUI,BBL,ZIP,ED_Visits,UnitsTotal,YearBuilt,Tract2010,XCoord,YCoord,avg,Id,Id2,code,med_inc
0,1002856,Office,100.0,14.8,1002220001.0,10013.0,165.0,53.0,1905.0,39.0,981721.0,202707.0,213.576923077,8600000US10013,10013.0,ZCTA5 10013,96667.0
26,1007564,Office,100.0,24.6,1004970009.0,10012.0,161.0,17.0,1900.0,43.0,984843.0,202807.0,186.565217391,8600000US10012,10012.0,ZCTA5 10012,100859.0
49,1017813,Office,100.0,35.1,1008710060.0,10003.0,878.0,13.0,1912.0,50.0,987653.0,207058.0,198.814285714,8600000US10003,10003.0,ZCTA5 10003,98151.0
84,1009620,Office,100.0,36.8,1005760046.0,10011.0,588.0,1.0,1924.0,63.0,985693.0,207061.0,202.364864865,8600000US10011,10011.0,ZCTA5 10011,109818.0
121,1015025,Office,100.0,40.3,1008010061.0,10001.0,794.0,26.0,1911.0,91.0,986165.0,210795.0,167.945783133,8600000US10001,10001.0,ZCTA5 10001,86801.0
204,Not Available,Office,100.0,41.1,1012590048.0,10036.0,552.0,1.0,1900.0,96.0,989419.0,214389.0,219.822033898,8600000US10036,10036.0,ZCTA5 10036,75966.0
263,1016935,Office,100.0,47.3,1008590048.0,10016.0,1430.0,16.0,1913.0,74.0,988787.0,210525.0,194.026829268,8600000US10016,10016.0,ZCTA5 10016,104826.0
345,1059889,Office,100.0,49.5,1019950044.0,10027.0,5010.0,2.0,1934.0,211.0,995445.0,236744.0,149.155555556,8600000US10027,10027.0,ZCTA5 10027,40782.0
354,1035481,Office,100.0,52.6,1012877501.0,10022.0,161.0,263.0,1973.0,102.0,990876.0,215857.0,227.750561798,8600000US10022,10022.0,ZCTA5 10022,126378.0
443,1015967,Office,100.0,62.3,1008390029.0,10018.0,84.0,22.0,1920.0,84.0,988607.0,212904.0,160.264102564,8600000US10018,10018.0,ZCTA5 10018,105500.0
560,1088910,Office,100.0,65.4,1008547501.0,10010.0,290.0,36.0,1932.0,56.0,987995.0,209430.0,208.207894737,8600000US10010,10010.0,ZCTA5 10010,101718.0
598,1035328,Office,99.0,72.3,1012750069.0,10017.0,143.0,68.0,1925.0,82.0,989474.0,213421.0,215.931395349,8600000US10017,10017.0,ZCTA5 10017,106421.0
684,1079094,Financial Office,100.0,76.7,1000920024.0,10038.0,728.0,15.0,1910.0,1501.0,982333.0,198173.0,178.829411765,8600000US10038,10038.0,ZCTA5 10038,76379.0
701,1035054,Office,97.0,88.3,1012720045.0,10019.0,727.0,4.0,1917.0,11201.0,991198.0,217281.0,209.826415094,8600000US10019,10019.0,ZCTA5 10019,94022.0
754,1043155,Medical Office,90.0,99.0,1014100064.0,10021.0,281.0,45.0,1915.0,128.0,995029.0,220933.0,399.3,8600000US10021,10021.0,ZCTA5 10021,115076.0
758,1051496,Office,97.0,101.2,1016080069.0,10029.0,9002.0,7.0,1926.0,168.0,997484.0,227815.0,101.2,8600000US10029,10029.0,ZCTA5 10029,31350.0
759,1054286,Office,97.0,102.1,1017550033.0,10037.0,2528.0,59.0,1896.0,206.0,1001730.0,233910.0,102.1,8600000US10037,10037.0,ZCTA5 10037,35491.0
760,1000820,Office,92.0,107.2,1000240036.0,10004.0,19.0,63.0,1913.0,9.0,980961.0,196392.0,220.340909091,8600000US10004,10004.0,ZCTA5 10004,119691.0
782,1054497,Office,92.0,115.8,1017750033.0,10035.0,3743.0,2.0,1974.0,242.0,1002096.0,232518.0,115.8,8600000US10035,10035.0,ZCTA5 10035,27424.0
783,1001031,Office,95.0,119.9,1000510001.0,10006.0,15.0,10.0,1907.0,13.0,980599.0,197252.0,193.08,8600000US10006,10006.0,ZCTA5 10006,123691.0
793,1081210,Office,84.0,119.9,1013800001.0,10065.0,135.0,2.0,1927.0,122.0,992668.0,219090.0,234.333333333,8600000US10065,10065.0,ZCTA5 10065,112869.0
799,1048782,Office,93.0,127.9,1015310040.0,10028.0,262.0,19.0,1966.0,14601.0,997127.0,222777.0,127.9,8600000US10028,10028.0,ZCTA5 10028,114939.0
800,1030966,Medical Office,80.0,128.7,1011830032.0,10023.0,671.0,60.0,1917.0,159.0,988414.0,223297.0,256.066666667,8600000US10023,10023.0,ZCTA5 10023,111478.0
803,1009754,Office,92.0,130.4,1005800065.0,10014.0,121.0,3.0,1926.0,37.0,982594.0,204289.0,216.435714286,8600000US10014,10014.0,ZCTA5 10014,113973.0
817,1001648,Office,91.0,130.7,1001500031.0,10007.0,57.0,97.0,1910.0,33.0,982612.0,199835.0,221.11,8600000US10007,10007.0,ZCTA5 10007,250000.0
827,1088757,Office,87.0,147.0,1021390250.0,10032.0,2646.0,236.0,1970.0,255.0,1000013.0,247059.0,164.25,8600000US10032,10032.0,ZCTA5 10032,37280.0
833,1001018,Office,90.0,155.9,1000430002.0,10005.0,23.0,1.0,1931.0,7.0,981555.0,196847.0,251.3,8600000US10005,10005.0,ZCTA5 10005,124194.0
847,1050309,Office,70.0,161.5,1015570008.0,10128.0,634.0,6.0,1927.0,15601.0,998972.0,224434.0,172.55,8600000US10128,10128.0,ZCTA5 10128,100200.0
849,1022709,Office,68.0,225.0,1010030029.0,10020.0,0.0,86.0,1961.0,131.0,989513.0,216363.0,294.783333333,8600000US10020,10020.0,ZCTA5 10020,
855,1087549,Office,35.0,257.4,1004207501.0,10002.0,2799.0,55.0,2005.0,18.0,986562.0,201600.0,257.4,8600000US10002,10002.0,ZCTA5 10002,33726.0
856,1057032,Medical Office,54.0,287.9,1018850036.0,10025.0,3233.0,88.0,1968.0,199.0,994631.0,232704.0,287.9,8600000US10025,10025.0,ZCTA5 10025,74065.0
857,1063580,Office,43.0,293.3,1021490023.0,10033.0,1802.0,1.0,1969.0,267.0,1003832.0,248817.0,293.3,8600000US10033,10033.0,ZCTA5 10033,44933.0
858,2101893,Non-Refrigerated Warehouse,96.0,9.8,2023870010.0,10456.0,10391.0,1.0,1911.0,185.0,1009049.0,241071.0,146.75,8600000US10456,10456.0,ZCTA5 10456,23956.0
860,2804750,Non-Refrigerated Warehouse,94.0,18.3,2025990146.0,10454.0,5370.0,1.0,1916.0,19.0,1009676.0,232875.0,112.342857143,8600000US10454,10454.0,ZCTA5 10454,20210.0
867,2009606,Office,100.0,20.4,2029240020.0,10457.0,9368.0,1.0,2004.0,395.0,1012859.0,247695.0,280.366666667,8600000US10457,10457.0,ZCTA5 10457,24750.0
870,2001080,Non-Refrigerated Warehouse,99.0,24.6,2023490090.0,10451.0,6183.0,1.0,1923.0,63.0,1003486.0,236847.0,134.7,8600000US10451,10451.0,ZCTA5 10451,26048.0
875,2072368,Office,100.0,29.2,2051410600.0,10475.0,1641.0,1.0,1969.0,46201.0,1032504.0,259372.0,29.72,8600000US10475,10475.0,ZCTA5 10475,44923.0
880,2062768,Non-Refrigerated Warehouse,86.0,30.3,2048000006.0,10469.0,3799.0,1.0,2002.0,46202.0,1030087.0,256108.0,30.3,8600000US10469,10469.0,ZCTA5 10469,57207.0
881,2015122,Non-Refrigerated Warehouse,56.0,30.9,2032350030.0,10468.0,5091.0,1.0,1930.0,269.0,1008870.0,253328.0,81.5,8600000US10468,10468.0,ZCTA5 10468,34784.0
883,2002893,Office,100.0,32.1,2024720034.0,10452.0,6685.0,1.0,1922.0,195.0,1006342.0,242693.0,32.1,8600000US10452,10452.0,ZCTA5 10452,24790.0
884,2004156,Non-Refrigerated Warehouse,84.0,33.2,2026060003.0,10474.0,1103.0,2.0,1931.0,93.0,1012884.0,234831.0,73.0333333333,8600000US10474,10474.0,ZCTA5 10474,26585.0
887,2027187,Distribution Center,86.0,56.2,2038380159.0,10462.0,4903.0,1.0,1967.0,96.0,1028228.0,242836.0,56.2,8600000US10462,10462.0,ZCTA5 10462,45760.0
888,2120944˜˜˜˜,Non-Refrigerated Warehouse,77.0,65.3,2035760001.0,10473.0,4758.0,1.0,2008.0,90.0,1027472.0,238560.0,87.4,8600000US10473,10473.0,ZCTA5 10473,36764.0
891,2007858,Office,100.0,75.5,2028227501.0,10453.0,6967.0,4.0,1930.0,22701.0,1009040.0,247682.0,75.5,8600000US10453,10453.0,ZCTA5 10453,23095.0
892,2044217,Office,98.0,78.5,2040830013.0,10461.0,2370.0,10.0,1959.0,200.0,1026894.0,247454.0,244.5,8600000US10461,10461.0,ZCTA5 10461,51568.0
897,2083943,Office,98.0,92.2,2057690105.0,10463.0,2361.0,116.0,1987.0,285.0,1010586.0,262083.0,92.2,8600000US10463,10463.0,ZCTA5 10463,56482.0
898,2081725,Non-Refrigerated Warehouse,93.0,102.2,2056110027.0,10465.0,1565.0,1.0,1983.0,90.0,1028749.0,237405.0,152.2,8600000US10465,10465.0,ZCTA5 10465,73776.0
900,2005787,Office,96.0,105.7,2027240186.0,10459.0,4752.0,14.0,1913.0,159.0,1014115.0,238615.0,105.7,8600000US10459,10459.0,ZCTA5 10459,23761.0
901,2096396,Office,85.0,118.2,2033270001.0,10467.0,8712.0,1.0,1972.0,421.0,1017448.0,260210.0,118.2,8600000US10467,10467.0,ZCTA5 10467,35117.0
902,2088325,Office,91.0,146.1,2030330053.0,10458.0,7196.0,35.0,1986.0,387.0,1014671.0,252688.0,174.42,8600000US10458,10458.0,ZCTA5 10458,27912.0
