Id,Id2,code,med_inc,ZIP
8600000US06390,6390,ZCTA5 06390,151083,06390
8600000US10001,10001,ZCTA5 10001,86801,10001
8600000US10002,10002,ZCTA5 10002,33726,10002
8600000US10003,10003,ZCTA5 10003,98151,10003
8600000US10004,10004,ZCTA5 10004,119691,10004
8600000US10005,10005,ZCTA5 10005,124194,10005
8600000US10006,10006,ZCTA5 10006,123691,10006
8600000US10007,10007,ZCTA5 10007,250000,10007
8600000US10009,10009,ZCTA5 10009,59090,10009
8600000US10010,10010,ZCTA5 10010,101718,10010
8600000US10011,10011,ZCTA5 10011,109818,10011
8600000US10012,10012,ZCTA5 10012,100859,10012
8600000US10013,10013,ZCTA5 10013,96667,10013
8600000US10014,10014,ZCTA5 10014,113973,10014
8600000US10016,10016,ZCTA5 10016,104826,10016
8600000US10017,10017,ZCTA5 10017,106421,10017
8600000US10018,10018,ZCTA5 10018,105500,10018
8600000US10019,10019,ZCTA5 10019,94022,10019
8600000US10020,10020,ZCTA5 10020,,10020
8600000US10021,10021,ZCTA5 10021,115076,10021
8600000US10022,10022,ZCTA5 10022,126378,10022
8600000US10023,10023,ZCTA5 10023,111478,10023
8600000US10024,10024,ZCTA5 10024,113839,10024
8600000US10025,10025,ZCTA5 10025,74065,10025
8600000US10026,10026,ZCTA5 10026,47264,10026
8600000US10027,10027,ZCTA5 10027,40782,10027
8600000US10028,10028,ZCTA5 10028,114939,10028
8600000US10029,10029,ZCTA5 10029,31350,10029
8600000US10030,10030,ZCTA5 10030,33196,10030
8600000US10031,10031,ZCTA5 10031,39774,10031
8600000US10032,10032,ZCTA5 10032,37280,10032
8600000US10033,10033,ZCTA5 10033,44933,10033
8600000US10034,10034,ZCTA5 10034,42581,10034
8600000US10035,10035,ZCTA5 10035,27424,10035
8600000US10036,10036,ZCTA5 10036,75966,10036
8600000US10037,10037,ZCTA5 10037,35491,10037
8600000US10038,10038,ZCTA5 10038,76379,10038
8600000US10039,10039,ZCTA5 10039,33558,10039
8600000US10040,10040,ZCTA5 10040,46200,10040
8600000US10044,10044,ZCTA5 10044,91383,10044
8600000US10065,10065,ZCTA5 10065,112869,10065
8600000US10069,10069,ZCTA5 10069,163750,10069
