ZIP,ED_Visits
10001,794
10002,2799
10003,878
10004,19
10005,23
10006,15
10007,57
10009,3082
10010,290
10011,588
10012,161
10013,165
10014,121
10016,1430
10017,143
10018,84
10019,727
10020,0
10021,281
10022,161
10023,671
10024,732
10025,3233
10026,3227
10027,5010
10028,262
10029,9002
10030,3663
10031,3004
10032,2646
10033,1802
10034,1455
10035,3743
10036,552
10037,2528
10038,728
10039,3041
10040,1283
10044,127
10060,0
10065,135
10075,87
10128,634
10203,0
10280,61
