ZIP,ED_Visits
11004,147
11005,0
11101,1384
11102,1084
11103,429
11104,344
11105,558
11106,928
11109,13
11120,0
11354,710
11355,961
11356,478
11357,266
11358,344
11359,0
11360,100
11361,261
11362,85
11363,38
11364,234
11365,785
11366,174
11367,794
11368,2709
11369,980
11370,488
11372,1118
11373,1533
11374,431
11375,567
11377,1319
11378,508
11379,399
11385,2704
11411,503
11412,1452
11413,1456
11414,356
11415,285
11416,928
11417,725
11418,1424
11419,1354
11420,1343
11421,1130
11422,937
11423,861
11426,240
11427,484
11428,467
11429,723
11430,25
11432,2339
11433,1986
11434,3056
11435,1948
11436,829
11691,3126
11692,1019
11693,427
11694,337
11697,20
