DATE,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall
06/01/16,83,66,74,6.9,47,52,61,0,9,426,1922,,0,0,0,29.95,30.08,6,17,60,13,60,,,,,,,,,,,,
06/02/16,78,62,70,2.6,70,57,61,0,5,426,1923,HZ:08,0,0,0,29.98,30.12,4.7,16,50,12,60,,,,,,,,,,,,
06/03/16,70,63,66,-1.8,81,60,63,0,1,425,1924,RA:16 BR:13 HZ:08,0.04,0,0,29.91,30.05,1.4,10,140,8,90,,,,,,,,,,,,
06/04/16,83,66,74,5.9,76,64,67,0,9,425,1924,RA:16 BR:13 HZ:08,0.4,0,0,29.83,29.97,2.5,13,180,9,160,,,,,,,,,,,,
06/05/16,71,65,68,-0.4,89,64,65,0,3,425,1925,RA:16 FG:01 BR:13,0.91,0,0,29.61,29.75,3.3,38,270,18,280,,,,,,,,,,,,
06/06/16,83,65,74,5.3,59,59,65,0,9,424,1926,BR:13 HZ:08,0,0,0,29.52,29.65,5.6,22,290,13,250,,,,,,,,,,,,
06/07/16,85,64,74,5,51,54,62,0,9,424,1926,,T,0,0,29.39,29.53,5.2,30,300,17,310,,,,,,,,,,,,
06/08/16,67,52,60,-9.3,62,46,53,5,0,424,1927,RA:16 BR:13,0.45,0,0,29.52,29.66,7.7,28,280,17,290,,,,,,,,,,,,
06/09/16,71,54,62,-7.7,41,38,50,3,0,424,1927,,0,0,0,29.69,29.83,9,32,280,21,290,,,,,,,,,,,,
06/10/16,77,57,67,-3,34,37,52,0,2,424,1928,,0,0,0,29.84,29.99,5.4,24,310,14,300,,,,,,,,,,,,
06/11/16,88,59,74,3.7,53,57,64,0,9,424,1928,,0,0,0,29.72,29.85,3.4,25,270,15,270,,,,,,,,,,,,
06/12/16,83,62,72,1.4,44,51,62,0,7,424,1928,HZ:08,0,0,0,29.54,29.68,8.1,36,290,21,290,,,,,,,,,,,,
06/13/16,74,57,66,-4.9,51,46,55,0,1,424,1929,,0,0,0,29.69,29.82,7.4,27,320,14,280,,,,,,,,,,,,
06/14/16,79,58,68,-3.2,43,45,56,0,3,424,1929,,0,0,0,29.78,29.92,4.2,17,290,10,20,,,,,,,,,,,,
06/15/16,85,62,74,2.5,43,49,60,0,9,424,1930,,0,0,0,29.78,29.91,2.4,18,250,12,260,,,,,,,,,,,,
06/16/16,74,65,70,-1.8,76,61,64,0,5,424,1930,RA:16 BR:13,0.22,0,0,29.65,29.78,1.8,16,20,8,150,,,,,,,,,,,,
06/17/16,78,63,70,-2.1,57,53,60,0,5,424,1930,,0,0,0,29.81,29.95,4.7,19,180,13,70,,,,,,,,,,,,
06/18/16,87,61,74,1.7,45,50,60,0,9,424,1930,,0,0,0,30.07,30.21,2.7,16,160,9,160,,,,,,,,,,,,
06/19/16,88,66,77,4.4,55,55,63,0,12,424,1931,,0,0,0,30.13,30.27,3,20,170,12,170,,,,,,,,,,,,
06/20/16,84,64,74,1.1,63,61,66,0,9,425,1931,,0,0,0,29.93,30.07,3.1,17,170,12,160,,,,,,,,,,,,
06/21/16,87,72,80,6.9,45,55,65,0,15,425,1931,RA:16,T,0,0,29.66,29.79,4.8,27,300,15,300,,,,,,,,,,,,
06/22/16,86,68,77,3.6,39,49,61,0,12,425,1931,,0,0,0,29.7,29.83,4.1,26,270,17,290,,,,,,,,,,,,
06/23/16,83,69,76,2.4,58,58,65,0,11,426,1931,,0,0,0,29.72,29.86,1.9,12,60,8,70,,,,,,,,,,,,
06/24/16,84,67,76,2.1,54,56,63,0,11,426,1931,HZ:08,0,0,0,29.89,30.03,6.2,22,40,15,60,,,,,,,,,,,,
06/25/16,86,64,75,0.9,55,55,63,0,10,426,1931,,0,0,0,30.04,30.18,3.5,15,160,9,170,,,,,,,,,,,,
06/26/16,87,67,77,2.7,48,54,63,0,12,427,1931,,0,0,0,30.04,30.18,2.5,17,170,10,160,,,,,,,,,,,,
06/27/16,83,67,75,0.5,67,61,66,0,10,427,1931,RA:16 BR:13,0.45,0,0,29.9,30.05,4.9,22,190,12,160,,,,,,,,,,,,
06/28/16,76,68,72,-2.8,89,68,69,0,7,428,1931,RA:16 BR:13,0.12,0,0,29.8,29.93,3.6,17,170,12,160,,,,,,,,,,,,
06/29/16,83,67,75,0.1,64,61,66,0,10,428,1931,BR:13,0.01,0,0,29.74,29.88,2.3,17,250,10,270,,,,,,,,,,,,
